Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
994,994,0,-27,-296
995,995,0,-27,-286
996,996,0,-27,210
997,997,0,-27,-124
998,998,0,-27,-282
999,999,0,-27,-298
1000,1000,0,-27,-334
1001,1001,0,-27,133
1002,1002,0,-27,-27
1003,1003,0,-54,-542
1004,1004,0,-54,-18
1005,1005,0,-54,-565
1006,1006,0,-54,154
1007,1007,0,-54,717
1008,1008,0,-54,479
1009,1009,0,-54,481
1010,1010,0,-54,-332
1011,1011,0,-54,502
1012,1012,0,-54,-541
1013,1013,0,-60,-533
1014,1014,0,-60,238
1015,1015,0,-60,234
1016,1016,0,-60,148
1017,1017,0,-60,-57
1018,1018,0,-60,508
1019,1019,0,-60,230
1020,1020,0,-60,-378
1021,1021,0,-60,160
1022,1022,0,-60,-379
1023,1023,0,-42,394
1024,1024,0,-42,-68
1025,1025,0,-42,-105
1026,1026,0,-42,-302
1027,1027,0,-42,-76
1028,1028,0,-42,444
1029,1029,0,-42,-101
1030,1030,0,-42,-101
1031,1031,0,-42,927
1032,1032,0,-42,483
1033,1033,0,-7,-310
1034,1034,0,-7,-578
1035,1035,0,-7,412
1036,1036,0,-7,-846
1037,1037,0,-7,201
1038,1038,0,-7,-46
1039,1039,0,-7,-540
1040,1040,0,-7,744
1041,1041,0,-7,-371
1042,1042,0,-7,-118
1043,1043,0,31,-6
1044,1044,0,31,209
1045,1045,0,31,173
1046,1046,0,31,-267
1047,1047,0,31,-17
1048,1048,0,31,502
1049,1049,0,31,129
1050,1050,0,31,401
1051,1051,0,31,-358
1052,1052,0,31,-377
1053,1053,0,58,754
1054,1054,0,58,-577
1055,1055,0,58,-344
1056,1056,0,58,-849
1057,1057,0,58,-636
1058,1058,0,58,220
1059,1059,0,58,251
1060,1060,0,58,247
1061,1061,0,58,-113
1062,1062,0,58,394
1063,1063,0,62,-323
1064,1064,0,62,-1031
1065,1065,0,62,-582
1066,1066,0,62,-356
1067,1067,0,62,-270
1068,1068,0,62,719
1069,1069,0,62,721
1070,1070,0,62,146
